,id_x,meas_station_x,sample_id,dp_position_x,sediment_depth_m,idoc_mgl,temp_c,idoc_sat,H_m_x,operator_name_x,comment_x,id_y,meas_station_y,dp_position_y,kf_ms,slurp_rate_avg_mls,H_m_y,operator_name_y,comment_y
0,5491.0,Aich 4, Aich 4,1.0,0.43999999999999995,6.02,,56.91,0.55,Seitz,,4765.0,Aich 4,1.0,0.000524156805466377,5.0566666666666675,0.55,Seitz,
1,5492.0,Aich 4, Aich 4,2.0,0.4099999999999999,8.82,,83.38,0.55,Seitz,,4766.0,Aich 4,2.0,0.00125575996461647,9.854444444444445,0.55,Seitz,
2,5493.0,Aich 4, Aich 4,3.0,0.37999999999999995,9.05,,85.55,0.55,Seitz,,4767.0,Aich 4,3.0,0.00144237582367492,11.878888888888888,0.55,Seitz,
3,5494.0,Aich 4, Aich 4,4.0,0.35,9.39,,88.76,0.55,Seitz,,4768.0,Aich 4,4.0,0.000756587952080588,5.728888888888889,0.55,Seitz,
4,5495.0,Aich 4, Aich 4,5.0,0.31999999999999995,9.34,,88.29,0.55,Seitz,,4769.0,Aich 4,5.0,0.00118534423215663,9.395555555555555,0.55,Seitz,
5,5496.0,Aich 4, Aich 4,6.0,0.2899999999999999,9.38,,88.67,0.55,Seitz,,4770.0,Aich 4,6.0,0.00246065394995482,16.15888888888889,0.55,Seitz,
6,5497.0,Aich 4, Aich 4,7.0,0.25999999999999995,8.95,,84.61,0.55,Seitz,,4771.0,Aich 4,7.0,0.00177522222154994,12.334444444444445,0.55,Seitz,
7,5498.0,Aich 4, Aich 4,8.0,0.22999999999999995,8.6,,81.3,0.55,Seitz,,4772.0,Aich 4,8.0,0.00103940913597618,6.772222222222222,0.55,Seitz,
8,5499.0,Aich 4, Aich 4,9.0,0.19999999999999996,9.2,,87.07,0.55,Seitz,,4773.0,Aich 4,9.0,0.000842960481775933,5.113333333333333,0.55,Seitz,
9,5500.0,Aich 4, Aich 4,10.0,0.16999999999999993,9.98,,94.87,0.55,Seitz,,4774.0,Aich 4,10.0,0.000578064379652059,3.222222222222222,0.55,Seitz,
10,5501.0,Aich 4, Aich 4,11.0,0.13999999999999996,9.83,,94.6,0.55,Seitz,,4775.0,Aich 4,11.0,0.00105258426795079,5.401111111111111,0.55,Seitz,
11,5502.0,Aich 4, Aich 4,12.0,0.10999999999999999,10.06,10.65,94.35,0.55,Seitz,,4776.0,Aich 4,12.0,0.00138281012549379,6.251111111111111,0.55,Seitz,
12,5503.0,Aich 4, Aich 4,13.0,0.07999999999999996,10.31,10.7,97.46,0.55,Seitz,,4777.0,Aich 4,13.0,0.00155946127171323,5.752222222222222,0.55,Seitz,
13,5504.0,Aich 4, Aich 4,14.0,0.04999999999999993,10.58,,100.01,0.55,Seitz,,4778.0,Aich 4,14.0,0.0022976384397173,8.597777777777777,0.55,Seitz,
